ndatetime,open,high,low,close,volume
2019-04-16 13:44:59.765,10521,10932,10420,10931,2355512
2019-05-14 13:44:59.880,10930,11138,10376,10532,2805238
2019-06-18 13:44:59.991,10524,10618,10218,10553,4107490
2019-07-16 13:44:59.788,10557,10892,10202,10876,2401556
2019-08-20 13:44:59.913,10870,10874,10095,10527,3754348
2019-09-17 13:44:59.843,10520,10913,10260,10863,2392686
2019-10-15 13:44:59.651,10865,11122,10768,11108,1973456
2019-11-19 13:44:59.875,11117,11682,11110,11644,3219549
2019-12-17 13:45:00.000,11654,12102,11424,12100,3670585
2020-01-14 13:44:59.000,12088,12199,11697,12181,2919309
2020-02-18 13:44:59.884,12174,12197,11152,11640,3775296
2020-03-17 13:44:59.000,11627,11830,9180,9363,6107106
2020-04-14 13:44:59.915,9396,10355,8268,10346,5337889
2020-05-19 13:45:00.041,10338,11038,10061,10872,4475249
2020-06-16 13:44:59.814,10918,11746,10651,11526,3166611
2020-07-14 13:44:59.869,11500,12297,11295,12188,2893083
2020-08-18 13:45:00.048,12206,13029,11903,12875,5452581
2020-09-15 13:44:59.920,12855,12955,12067,12840,3997940
2020-10-20 13:44:59.799,12845,13018,12050,12856,3793998
2020-11-17 13:44:59.941,12868,13768,12370,13625,3294773
2020-12-15 13:44:59.000,13631,14425,13600,14085,3551196
2021-01-13 13:45:00.020,14099,15790,14006,15764,3258644
2021-01-19 13:44:59.765,15758,16061,15327,15888,702661
2021-02-05 13:44:59.851,15871,16183,15037,15804,3358797
2021-03-16 13:44:59.000,15803,16564,15608,16305,3812664
2021-04-20 13:45:00.016,16325,17324,15857,17319,3592855
2021-04-29 13:45:00.051,17305,17702,17011,17571,1011774
