ndatetime,open,high,low,close,volume
2019-03-20 15:00:00.000000,10514,10514,10514,10514,12000
2019-03-20 19:35:12.000000,10513,10513,10513,10513,12000
2019-03-20 23:01:53.000000,10488,10488,10488,10488,12000
2019-03-21 01:21:39.000300,10542,10542,10542,10542,12000
2019-03-21 02:30:19.000300,10506,10506,10506,10506,12000
2019-03-21 04:53:38.000000,10501,10501,10501,10501,462
2019-03-21 08:45:00.000000,10549,10549,10549,10549,12000
2019-03-21 08:52:06.000500,10546,10546,10546,10546,12000
2019-03-21 09:04:58.000100,10561,10561,10561,10561,12000
2019-03-21 09:15:48.001300,10557,10557,10557,10557,12000
2019-03-21 09:25:13.001200,10537,10537,10537,10537,12000
2019-03-21 09:30:44.000000,10543,10543,10543,10543,12000
2019-03-21 09:46:28.001300,10553,10553,10553,10553,12000
2019-03-21 09:56:23.000100,10561,10561,10561,10561,12000
2019-03-21 10:12:41.000400,10574,10574,10574,10574,12000
2019-03-21 10:37:00.003000,10584,10584,10584,10584,12000
2019-03-21 10:48:02.000300,10573,10573,10573,10573,12000
2019-03-21 11:12:09.000000,10573,10573,10573,10573,12000
2019-03-21 11:50:14.000300,10578,10578,10578,10578,12000
2019-03-21 12:47:12.000400,10591,10591,10591,10591,12000
2019-03-21 13:25:57.000000,10589,10589,10589,10589,12000
2019-03-21 13:44:31.001500,10590,10590,10590,10590,1292
2019-03-21 15:00:00.017000,10593,10593,10593,10593,12000
2019-03-21 21:49:32.397000,10621,10621,10621,10621,12000
2019-03-22 00:25:59.374000,10647,10647,10646,10646,12000
2019-03-22 08:45:00.085000,10646,10648,10646,10648,12000
2019-03-22 09:06:02.569000,10648,10648,10641,10641,12000
2019-03-22 09:31:09.792000,10641,10641,10609,10609,12000
2019-03-22 10:04:11.694000,10609,10609,10589,10589,12000
2019-03-22 10:18:00.858000,10589,10589,10564,10564,12000
2019-03-22 10:35:30.970000,10564,10583,10564,10583,12000
2019-03-22 10:53:48.114000,10583,10586,10583,10586,12000
2019-03-22 11:28:41.946000,10586,10612,10586,10612,12000
2019-03-22 13:05:28.569000,10612,10612,10612,10612,7320
2019-03-22 15:00:00.004000,10588,10588,10588,10588,12000
2019-03-22 21:18:25.702000,10553,10553,10553,10553,12000
2019-03-22 22:45:46.070000,10530,10530,10530,10530,12000
2019-03-23 00:18:08.823000,10520,10520,10453,10453,12000
2019-03-25 08:45:00.032000,10453,10461,10453,10461,12000
2019-03-25 09:00:08.718000,10461,10461,10454,10454,12000
2019-03-25 09:11:36.427000,10454,10470,10454,10470,12000
2019-03-25 09:35:51.205000,10470,10470,10461,10461,12000
2019-03-25 09:59:01.599000,10461,10461,10450,10450,12000
2019-03-25 10:29:14.599000,10450,10450,10430,10430,12000
2019-03-25 11:19:06.763000,10430,10447,10430,10447,12000
2019-03-25 12:33:21.476000,10447,10447,10439,10439,12000
2019-03-25 13:34:02.224000,10439,10439,10439,10439,4015
2019-03-25 15:00:00.004000,10454,10454,10454,10454,12000
2019-03-25 19:45:49.911000,10452,10452,10452,10452,12000
2019-03-25 22:27:25.521000,10434,10434,10434,10434,12000
2019-03-26 02:19:58.860000,10458,10510,10458,10510,12000
2019-03-26 08:45:00.027000,10510,10535,10510,10535,12000
2019-03-26 09:02:33.423000,10535,10535,10533,10533,12000
2019-03-26 09:15:02.353000,10533,10533,10519,10519,12000
2019-03-26 09:36:01.209000,10519,10519,10516,10516,12000
2019-03-26 10:06:51.743000,10516,10516,10510,10510,12000
2019-03-26 11:09:31.421000,10510,10525,10510,10525,12000
2019-03-26 12:21:20.035000,10525,10525,10523,10523,5822
2019-03-26 15:00:00.072000,10548,10548,10548,10548,12000
2019-03-26 22:03:11.359000,10540,10540,10540,10540,12000
2019-03-27 00:32:30.220000,10538,10538,10492,10492,12000
2019-03-27 08:45:00.047000,10492,10492,10475,10475,12000
2019-03-27 09:00:19.786000,10475,10496,10475,10496,12000
